Models,Accuracy,Precision,Recall,F1 Score,Duration,TP,FP,FN,TN
gnb,0.7894724791647587,0.8678006145180331,0.7351711514497851,0.7457437693610682,0:00:00.030828,8184,9142,53,26297
rf,0.999290228042861,0.9993327487130577,0.9991844549909198,0.9992584677038949,0:00:00.276730,17303,23,8,26342
rf adb,0.999290228042861,0.9993327487130577,0.9991844549909198,0.9992584677038949,0:00:00.582414,17303,23,8,26342
lr rf dt,0.9990612693470098,0.9991332484166533,0.9989057543904687,0.9990191860152816,0:00:00.293649,17294,32,9,26341
gnb dt,0.9983057056507006,0.998210546156832,0.9982499193389585,0.9982302232243173,0:00:00.056034,17291,35,39,26311
rf dt,0.9987636230424032,0.9987380289845522,0.9986788411357512,0.9987084136148152,0:00:00.392496,17296,30,24,26326
gnb dt,0.9983514973898708,0.9982192683084095,0.9983372851585217,0.9982781910365364,0:00:00.056942,17296,30,42,26308
gnb dt,0.9983972891290411,0.9983160085739265,0.9983357036983169,0.9983258537548433,0:00:00.062190,17292,34,36,26314
rf dt,0.9987865189119883,0.9987767516009545,0.9986879334367342,0.9987322942614116,0:00:00.388032,17295,31,22,26328
